Topic,Count,Name,Representation,Representative_Docs
-1,7885,-1_army_alexander_one_men,"['army', 'alexander', 'one', 'men', 'enemy', 'caesar', 'great', 'would', 'camp', 'war']","['three parts two divisions made demonstration two flanks one front began obstruct march circumstance announced caesar orders cavalry also form three divisions charge enemy action commences simultaneously every part main body halts baggage', 'might cut caesar corn provisions might conveyed sequani aedui five successive days day caesar drew forces camp put battle order ariovistus willing engage battle opportunity might wanting ariovistus', 'great combats battles say great masses brought action managed throughout means order battle like great helpless whole required less level plain neither suited attack yet defence broken close even mountainous country defender therefore also']"
0,4446,0_french_english_england_france,"['french', 'english', 'england', 'france', 'ships', 'sea', 'fleet', 'power', 'naval', 'navy']","['advantage wind english day fortyfour ships action dutch eighty many english said larger two fleets passed opposite tacks english windward tromp rear seeing dutch order battle badly formed ships two three lines overlapping', 'reached opinion done may open dispute war american revolution france spain became allies england united fleets thrice appeared english channel number sixtysix sail line driving english fleet seek refuge ports', 'time arrived strong english squadron six shipsoftheline admiral hughes absence similar french force gave entire control sea english arrival suffren nearly three years later mean holland drawn war stations negapatam']"
1,2679,1_athenians_lacedaemonians_athens_athenian,"['athenians', 'lacedaemonians', 'athens', 'athenian', 'allies', 'ships', 'peloponnesians', 'syracusans', 'meanwhile', 'sicily']","['terms armistice ships delivered number sixty envoys sent accordingly arrived athens spoke follows athenians lacedaemonians sent us try find way', 'command fleet allies sicily sailed athens induced athenians send vessels assistance pointing syracusans already commanded land making efforts get together navy avoid longer excluded sea vessels athenians proceeded man', 'many allies killed one hundred twenty athenian heavy infantry man less prime life far best men city athens fell war among slain also procles colleague demosthenes meanwhile athenians took dead truce']"
2,928,2_operations_lines_strategic_line,"['operations', 'lines', 'strategic', 'line', 'point', 'enemy', 'points', 'battle', 'may', 'decisive']","['front operations space separates two armies upon may fight ordinarily parallel base operations strategic front direction ought perpendicular principal line operations extend far enough either flank cover line well however', 'operations front operations strategic front temporary positions corps darmee occupy upon front operations upon line defense strategic positions near first objective point begins meet', 'whether follow single several routes term strategic lines apply important lines connect decisive points theater operations either front operations reason give name lines army would follow reach one decisive']"
3,921,3_theory_mind_must_us,"['theory', 'mind', 'must', 'us', 'may', 'things', 'therefore', 'life', 'man', 'truth']","['influence theoretical principles upon real life produced criticism doctrine criticism application abstract truth real events therefore brings truth description nearer life also accustoms understanding truths constant repetition', 'nature things would tedious criticism must support truths theory established point war actor obeys theoretical truths rather mind imbued regards objective inflexible laws criticism must also make use external law', 'bordering highest improved theory facilitate study conduct war form mind judgment men rising highest commands also method action longer reach far much considered indispensable least formed theory take place mere']"
4,554,4_sun_wu_tz_chi,"['sun', 'wu', 'tz', 'chi', 'yu', 'tsao', 'chinese', 'chang', 'ch', 'tu']","['return elder sun tz mentioned two passages shih chi third year reign bc ho lu king wu took field tzhsu ie wu yuan po pei attacked chu', 'shu chien ming mu lu ch fol sqq wu tz chuan chapters wu chi bc genuine work see shih chi ch', 'ssuma chien gives following biography sun tz sun tz wu native chi state art war brought notice ho lu king wu ho lu said']"
5,353,5_object_war_destruction_therefore,"['object', 'war', 'destruction', 'therefore', 'political', 'means', 'combat', 'force', 'action', 'may']","['destruction enemys military force leading principle war whole positive action direct way object destruction enemys force must principally effected', 'directly conditions preceding combat action directed destruction enemy rather fighting powers lies conception combat destruction enemys fighting power therefore always means attain object combat', 'destruction enemys military forces reality object combats objects may joined thereto objects may time predominant must therefore draw distinction destruction enemys forces principal object means']"
6,311,6_river_indus_called_rivers,"['river', 'indus', 'called', 'rivers', 'name', 'hebrew', 'euphrates', 'sea', 'flows', 'caucasus']","['unquestionable therefore let record indus largest rivers asia europe except ganges also indian river takes rise side mount parapamisus caucasus discharges water great sea lies near india direction south wind two', 'absorbing river still retains name acesines takes hyphasis finally flows indus name junction yields name indus point doubt indus proceeds stades perhaps divided form', 'indus four large rivers navigable discharge water river indus though retain distinct name hydaspes discharges acesines junction whole stream forms called acesines river unites hydraotes']"
7,307,7_eordaea_rha_ulm_crateas,"['eordaea', 'rha', 'ulm', 'crateas', 'ariaspians', 'mount', 'magnesia', 'son', 'musicanus', 'patala']","['ulm magnesia victory malplaquet', 'peithon son crateas pelagon', 'peithagras peithn son sosicles peithon son agenor']"
8,177,8_military_generals_general_spirit,"['military', 'generals', 'general', 'spirit', 'virtue', 'army', 'staff', 'qualities', 'chief', 'genius']","['assistance military virtue parts genius commander whole general guide whole separate part cannot guide part military virtue must', 'spirit boldness always nourished different things may undertaken one virtue unknown reason considered connection army subject specially boldness general yet much say described military virtue', 'one important points military policy state nature military institutions good army commanded general ordinary capacity may accomplish great feats bad army good general may equally well army certainly great deal superiority general']"
9,177,9_darius_persians_alexander_persian,"['darius', 'persians', 'alexander', 'persian', 'king', 'grecian', 'wife', 'alexanders', 'towards', 'mercenaries']","['reflections fate darius alexander sent body darius persis orders', 'battle arbelaflight darius defeat persians pursuit darius escape darius mediamarch alexander', 'defeat persians pursuit darius']"
